epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,84.5172,1.04009,1.21355,0.7047,1.08195,0.81502,0.83333,0.85833,0.35717,1,0.97005,0.995,0.38177,2.32864,2.64607,0.86253,1.99035,0.0007526,0.0007526,0.0007526
65,85.7068,1.05023,1.20297,0.64933,1.01875,0.81502,0.83333,0.85833,0.35717,1,0.97005,0.995,0.38177,2.32864,2.64607,0.86253,1.99035,0.0007328,0.0007328,0.0007328
66,86.9145,1.0166,1.23851,0.66218,1.07556,0.74587,0.98071,0.87167,0.35197,0.98335,1,0.995,0.42744,2.20066,2.55483,0.92633,1.87057,0.000713,0.000713,0.000713
67,88.2868,1.06152,1.22541,0.64701,1.02141,0.96111,1,0.995,0.39488,0.96111,1,0.995,0.4121,2.04766,2.52432,1.01479,1.90515,0.0006932,0.0006932,0.0006932
68,89.6709,0.97695,1.05347,0.66553,1.06075,0.98624,1,0.995,0.43471,0.98624,1,0.995,0.43601,1.8885,2.5442,0.90952,1.9336,0.0006734,0.0006734,0.0006734
69,91.076,0.95699,1.12778,0.62901,1.0212,0.98624,1,0.995,0.43471,0.98624,1,0.995,0.43601,1.8885,2.5442,0.90952,1.9336,0.0006536,0.0006536,0.0006536
70,92.4887,0.9132,1.24106,0.57467,0.99061,0.98515,1,0.995,0.43247,0.98515,1,0.995,0.45159,1.94398,2.4254,0.7896,1.8576,0.0006338,0.0006338,0.0006338
71,93.861,0.93448,0.98964,0.60957,0.97412,0.98234,1,0.995,0.40045,0.98234,1,0.995,0.46554,1.98036,2.22385,0.80173,1.78501,0.000614,0.000614,0.000614
72,95.0393,0.94335,1.1447,0.62871,0.98121,0.98118,1,0.995,0.45032,0.98118,1,0.995,0.4537,2.1042,2.11133,1.00517,1.87743,0.0005942,0.0005942,0.0005942
73,96.414,0.95314,1.04748,0.62732,1.00682,0.98118,1,0.995,0.45032,0.98118,1,0.995,0.4537,2.1042,2.11133,1.00517,1.87743,0.0005744,0.0005744,0.0005744
74,97.8184,0.91385,1.0071,0.60949,0.96861,0.98834,1,0.995,0.4324,0.98834,1,0.995,0.46569,2.12435,2.08518,1.06361,1.97616,0.0005546,0.0005546,0.0005546
75,99.043,0.86744,1.06118,0.6159,0.96565,1,0.94245,0.995,0.39578,1,0.94245,0.995,0.45548,2.17092,2.23211,1.0347,1.99935,0.0005348,0.0005348,0.0005348
76,100.274,0.87833,1.0217,0.59865,1.04237,1,0.9507,0.995,0.35917,1,0.9507,0.995,0.44768,2.17088,2.46508,0.95177,1.97406,0.000515,0.000515,0.000515
77,101.479,0.89562,1.00613,0.60189,0.99608,1,0.9507,0.995,0.35917,1,0.9507,0.995,0.44768,2.17088,2.46508,0.95177,1.97406,0.0004952,0.0004952,0.0004952
78,102.707,0.86898,1.07545,0.62763,0.99194,0.97185,1,0.995,0.3839,0.97185,1,0.995,0.44316,2.15123,2.71688,0.94132,1.99694,0.0004754,0.0004754,0.0004754
79,103.878,0.89235,1.05743,0.60161,0.98003,0.86024,1,0.995,0.42544,0.76517,0.83333,0.82236,0.39985,2.10772,2.91546,0.8883,2.03255,0.0004556,0.0004556,0.0004556
80,105.1,0.89846,1.11633,0.58359,0.98713,0.96729,1,0.995,0.43929,0.80608,0.83333,0.82299,0.37525,2.08666,2.9781,0.83729,2.05102,0.0004358,0.0004358,0.0004358
81,106.257,0.84058,1.01761,0.56565,0.95058,0.96729,1,0.995,0.43929,0.80608,0.83333,0.82299,0.37525,2.08666,2.9781,0.83729,2.05102,0.000416,0.000416,0.000416
82,107.461,0.89652,1.06008,0.60892,0.96058,0.97083,1,0.995,0.44609,0.80604,0.83333,0.82814,0.40287,1.99478,2.85234,0.88449,2.02791,0.0003962,0.0003962,0.0003962
83,108.631,0.76134,0.94488,0.5314,0.94147,0.98186,1,0.995,0.46084,0.81274,0.83333,0.80383,0.4007,1.86158,2.71036,0.83564,1.93334,0.0003764,0.0003764,0.0003764
84,109.86,0.87745,0.99518,0.58332,0.97218,0.99768,1,0.995,0.47602,0.82107,0.83333,0.82707,0.39282,1.86515,2.66796,0.83138,1.87778,0.0003566,0.0003566,0.0003566
85,111.056,0.87884,1.1324,0.55361,0.97057,0.99768,1,0.995,0.47602,0.82107,0.83333,0.82707,0.39282,1.86515,2.66796,0.83138,1.87778,0.0003368,0.0003368,0.0003368
86,112.267,0.85776,1.05624,0.55353,0.95451,1,0.99097,0.995,0.49583,1,0.99097,0.995,0.42282,1.96768,2.77291,0.82195,1.90393,0.000317,0.000317,0.000317
87,113.625,0.84486,1.12662,0.58668,0.94782,0.98088,1,0.995,0.44451,0.80899,0.83333,0.81713,0.39234,2.11742,2.89691,0.8376,2.00051,0.0002972,0.0002972,0.0002972
88,114.808,0.86952,1.06376,0.57313,0.95713,0.96976,1,0.995,0.39171,0.96976,1,0.995,0.42352,2.16638,2.90155,0.82894,2.03334,0.0002774,0.0002774,0.0002774
89,116.004,0.87972,1.08085,0.5717,0.98628,0.96976,1,0.995,0.39171,0.96976,1,0.995,0.42352,2.16638,2.90155,0.82894,2.03334,0.0002576,0.0002576,0.0002576
90,117.227,0.81942,1.07404,0.52235,0.9601,0.97355,1,0.995,0.3875,0.97355,1,0.995,0.41901,2.18733,2.86901,0.8416,2.04022,0.0002378,0.0002378,0.0002378
91,119.662,0.78745,1.01274,0.54804,0.99925,0.97377,1,0.995,0.39296,0.97377,1,0.995,0.42334,2.17956,2.89272,0.80916,2.00598,0.000218,0.000218,0.000218
92,120.999,0.69923,0.98552,0.49365,0.95958,0.97312,1,0.995,0.40681,0.97312,1,0.995,0.45374,2.21822,2.90464,0.79893,2.0201,0.0001982,0.0001982,0.0001982
93,122.199,0.68364,0.92197,0.48412,0.93522,0.97312,1,0.995,0.40681,0.97312,1,0.995,0.45374,2.21822,2.90464,0.79893,2.0201,0.0001784,0.0001784,0.0001784
94,123.392,0.7313,1.02474,0.52696,0.99624,0.97325,1,0.995,0.38445,0.97325,1,0.995,0.41876,2.30323,2.84901,0.85308,2.07743,0.0001586,0.0001586,0.0001586
95,124.57,0.70846,0.95043,0.51834,0.9662,0.97417,1,0.995,0.3372,0.97417,1,0.995,0.42053,2.33276,2.78559,0.84927,2.1213,0.0001388,0.0001388,0.0001388
96,125.746,0.67379,0.9093,0.51429,0.94621,0.97695,1,0.995,0.35998,0.97695,1,0.995,0.42214,2.32033,2.74393,0.82069,2.15314,0.000119,0.000119,0.000119
97,126.947,0.72571,0.89667,0.49189,0.9324,0.97695,1,0.995,0.35998,0.97695,1,0.995,0.42214,2.32033,2.74393,0.82069,2.15314,9.92e-05,9.92e-05,9.92e-05
98,128.186,0.67258,0.9575,0.50952,0.94746,0.97905,1,0.995,0.35965,0.97905,1,0.995,0.44204,2.3178,2.7474,0.81817,2.15619,7.94e-05,7.94e-05,7.94e-05
99,129.38,0.66336,0.91555,0.48126,0.91755,0.97873,1,0.995,0.36496,0.97873,1,0.995,0.44272,2.29084,2.74825,0.82977,2.14087,5.96e-05,5.96e-05,5.96e-05
100,130.561,0.66588,0.88014,0.47499,0.88151,0.97458,1,0.995,0.36483,0.97458,1,0.995,0.44254,2.28062,2.74104,0.8172,2.12917,3.98e-05,3.98e-05,3.98e-05
